Pitch	Ball_X	Ball_Y	 Ball_V	 Abner_V	 Speed	 Elevation	 Estmated Z	 Abner_Crush	 Omega	 Abner_RPM	 Abner_URPM	 Abner_LRPM	 FRate	 Start Frame	 Frames	 Ball-Thres	 Mark-Thres	 Markers	 Scale	 InitialX	 InitialY	 CL	 rw/V
98	-12	-15	139	154	143.1	-2.33	-7.8	1.07	-157.5	-1500	2245	2604	500	4	6	18	70	0.791	2.345	54.708	6.283	0.008503	0.006063
99	-18	-13.5	141	154	143.3	-1.99	-5.5	1.07	-129.8	-1500	2245	2604	500	2	5	18	70	0.791	1.4	55.364	6.304	0.000004	0.00499
100	-2.75	-30	87	95.33333333	87.1	-1.03	-32.8	1.07	-1090.2	-1700	1205	1612	500	2	5	18	70	0.791	1.262	55.402	6.339	0.257111	0.06895
101	-2.75	-30	87	95.33333333	88.3	-1.07	-30.7	1.07	-1183.9	-1700	1205	1612	500	2	5	17	70	0.791	1.282	55.35	6.337	0.236782	0.073858
102	-2	-30	87	95.33333333	87.8	-1.02	-31.1	1.07	-1180.1	-1700	1205	1612	500	2	5	17	70	0.791	1.257	55.402	6.337	0.24194	0.074041
103	-1	-11.5	97	102.6666667	98.7	-0.97	-14.3	1.07	-1143.7	-1700	1330	1736	500	2	5	17	70	0.791	1.283	55.409	6.341	0.25033	0.063832
104	-1	-11	97	102.6666667	99.8	-1.03	-13.3	1.07	-1157.2	-1700	1330	1736	500	2	5	17	70	0.791	1.256	55.34	6.341	0.246475	0.063874
105	-2	-9.5	97	102.6666667	99.4	-0.9	-12	1.07	-1230	-1700	1330	1736	500	2	5	17	70	0.791	1.271	55.363	6.342	0.252353	0.068165
106	-3	2	107	110	109.1	-0.83	-1.5	1.07	-1099.7	-1700	1454	1860	500	2	5	17	70	0.791	1.3	55.383	6.341	0.250743	0.055526
107	-1	1	107	110	109.8	-0.94	-1.8	1.07	-1126.5	-1700	1454	1860	500	2	5	17	70	0.791	1.279	55.281	6.34	0.244914	0.056516
108	-2	2	107	110	109.5	-0.84	-0.9	1.07	-1189.1	-1700	1454	1860	500	2	5	17	70	0.791	1.304	55.416	6.343	0.247984	0.05982
109	-3.5	9	116	117.3333333	119	-1.04	4.3	1.07	-1117.8	-1700	1577	1984	500	2	5	17	70	0.791	1.282	55.258	6.338	0.259775	0.051744
110	-6	9	116	117.3333333	118.5	-0.85	5.7	1.07	-1044.2	-1700	1577	1984	500	2	5	17	70	0.791	1.279	55.395	6.34	0.241328	0.048541
111	-3	9	116	117.3333333	118.7	-0.94	4.7	1.07	-1029.1	-1700	1577	1984	500	2	5	17	70	0.791	1.295	55.373	6.34	0.250719	0.047759
112	-4.5	11	123	124.6666667	127.3	-1.24	6.9	1.07	-1029.9	-1700	1701	2108	500	2	5	17	70	0.791	1.29	55.203	6.329	0.245944	0.044567
113	-4	13	123	124.6666667	126.4	-1.25	6.2	1.07	-1022.8	-1700	1701	2108	500	2	5	17	70	0.791	1.292	55.259	6.329	0.275726	0.044575
114	-7	13.5	123	124.6666667	127.5	-1.12	8.8	1.07	-1098.3	-1700	1701	2108	500	2	5	17	70	0.791	1.288	55.218	6.333	0.256456	0.047452
115	-7	14	129	132	133.6	-1.2	11.1	1.07	-1074.6	-1700	1826	2232	500	2	5	17	70	0.791	1.296	55.148	6.33	0.233845	0.044308
116	-6	15	131	132	134.7	-1.52	7.6	1.07	-1020.3	-1700	1826	2232	500	2	5	17	70	0.791	1.297	55.115	6.323	0.279644	0.041726
117	-4.5	13.5	131	132	134	-1.44	8.3	1.07	-1065.7	-1700	1826	2232	500	2	5	17	70	0.791	1.331	55.218	6.322	0.258025	0.04381
118	-8	13	135	139.3333333	138.8	-1.51	9.3	1.07	-970	-1700	1950	2356	500	2	5	17	70	0.791	1.346	55.312	6.318	0.236514	0.038497
119	-8.5	17	135	139.3333333	138.9	-1.28	12.5	1.07	-1043.6	-1700	1950	2356	500	2	5	17	70	0.791	1.299	55.178	6.327	0.248467	0.041388
120	-7	12.5	135	139.3333333	139.4	-1.73	7.1	1.07	-990.7	-1700	1950	2356	500	2	5	17	70	0.791	1.298	55.205	6.315	0.255233	0.039149
121	-9	19.5	139	146.6666667	143.1	-1.45	12.2	1.07	-1033.3	-1700	2074	2480	500	2	5	17	70	0.791	1.294	55.135	6.325	0.276653	0.039777
122	-9	14.5	138	146.6666667	144.3	-1.53	11.6	1.07	-990.5	-1700	2074	2480	500	2	5	17	70	0.791	1.324	55.156	6.319	0.227199	0.037812
