Walt Disney Company (DIS)					
Daily prices (3/29/96 to 3/29/99)					
DATE   	OPEN	HIGH   	LOW   	CLOSE   	VOLUME
7/17/97	26.0678	26.292	25.458	25.917	5940300
7/16/97	25.8404	26.5	26.021	26.292	6238200
7/15/97	25.6337	25.979	25.521	25.979	4869600
7/14/97	25.2616	25.875	25.417	25.792	5830200
7/11/97	25.3236	25.667	25.25	25.479	5553300
7/10/97	25.4683	25.979	25.542	25.625	5025300
7/9/97	25.9438	26.167	25.604	25.688	6512400
7/8/97	25.4252	26.125	25.625	26.021	8623500
7/7/97	25.7348	26.083	25.021	25.333	10174200
7/4/97	NaN	NaN   	NaN   	NaN   	NaN
7/3/97	25.7141	26.167	25.708	25.75	5333100
7/2/97	25.611	25.917	25.479	25.625	8904600
7/1/97	26.3333	26.583	25.958	26.188	6320700
6/30/97	26.4158	26.813	26.25	26.75	7490700
6/27/97	27.0556	27.313	26.625	26.646	5422500
6/26/97	27.0762	27.417	27	27.188	4059600
6/25/97	27.1588	27.719	26.958	27.333	4892700
6/24/97	26.746	27.5	26.833	27.5	4315500
6/23/97	27.1588	27.458	26.833	26.875	2712000
6/20/97	27.4477	27.792	27.333	27.417	5408400
6/19/97	27.2413	27.875	27.125	27.792	4817400
6/18/97	27.4064	27.792	27.5	27.5	3274200
6/17/97	27.7366	28.125	27.583	28	4406700
6/16/97	27.5715	27.958	27.667	27.958	3944400
6/13/97	27.0762	28	27.292	27.833	5687100
6/12/97	26.9937	27.292	27.083	27.208	4967100
6/11/97	27.0349	27.292	26.958	27.125	4004700
6/10/97	26.8286	27.333	27	27.292	3645900
6/9/97	26.8698	27.333	26.958	27	3196200
6/6/97	26.7873	27.167	26.708	27.125	3822000
6/5/97	26.4984	27.208	26.625	26.917	2940900
6/4/97	26.5396	26.875	26.625	26.625	2664300
6/3/97	26.6635	27	26.792	26.875	2623800
6/2/97	27.2	27.458	26.917	26.958	2521500
5/30/97	26.7873	27.417	26.708	27.292	3811500
5/29/97	27.7366	28	27.458	27.625	2626200
5/28/97	27.5715	28.042	27.583	27.958	2521200
5/27/97	27.2826	27.958	27.375	27.917	2646900
5/26/97	NaN	NaN   	NaN   	NaN   	NaN
5/23/97	27.3239	27.875	27.458	27.75	1470300
5/22/97	27.2413	27.583	27.25	27.375	2741100
5/21/97	27.5302	27.917	27.292	27.375	3132000
5/20/97	27.3239	27.875	27.208	27.833	3968700
5/19/97	26.746	27.792	26.917	27.75	2848500
5/16/97	27.2	27.542	26.958	26.958	5526900
5/15/97	27.489	27.792	27.542	27.625	2571300
5/14/97	27.8192	28.208	27.792	27.875	2937000
5/13/97	27.8192	28.125	27.625	27.875	3525000
5/12/97	27.2	28.375	27.458	28.167	4684500
5/9/97	26.8698	27.417	27	27.417	3476700
5/8/97	26.4158	27.292	26.583	27.083	4744200
5/7/97	27.1588	27.417	26.75	26.833	3444600
5/6/97	26.9937	27.458	27.125	27.417	4385400
5/5/97	26.3745	27.417	26.583	27.375	4258200
5/2/97	26.7873	27.167	26.792	26.792	3505500
5/1/97	26.9111	27.333	26.75	27	3382500
4/30/97	26.4158	27.5	26.667	27.25	6981600
4/29/97	25.9205	26.958	26.083	26.917	6669300
4/28/97	25.5078	26.083	25.75	25.875	3057900
4/25/97	25.6729	26.083	25.708	25.792	3393300
4/24/97	26.292	26.625	25.917	26.083	4164600
4/23/97	25.9205	26.542	26.083	26.375	6732000
4/22/97	25.384	26.292	25.458	26.083	6454800
4/21/97	25.3427	25.958	25.417	25.625	4232100
4/18/97	25.0125	25.667	25.167	25.583	3373800
4/17/97	24.9712	25.458	25.083	25.25	3342300
4/16/97	24.3108	25.208	24.458	25.208	5304000
4/15/97	23.7742	24.708	23.75	24.625	3600900
4/14/97	23.7742	24.042	23.458	23.708	4288500
4/11/97	23.9806	24.875	24.125	24.125	5168100
4/10/97	24.4759	25.042	24.625	24.667	4009200
4/9/97	24.3934	24.708	24.458	24.583	2156100
